"id";"name";"about";"thumbnail";"rating";"review";"ranking";"open_hour";"duration"
1;"Hoi An Ancient Town";"AboutLocated on the banks of the poetic Thu Bon River, in central Quang Nam province, 30 kilometers south of Da Nang, Hoi An ancient town is an Eastern oriental classic captivation. With the strategic location on the banks of the great river, with one...moreSuggested duration: More than 3 hoursAs featured in 3 Days in Hoi An";"https://media-cdn.tripadvisor.com/media/photo-w/0a/1b/a3/0d/vietnamtravellifecom.jpg";4.5;25;"#1 of 98 things to do in Hoi An";"";""
2;"Tra Que Water Wheel";"AboutLocated in the heart of the famous herb village, Tra Que Water Wheel restaurant is a rustic-designed, restored, traditional Vietnamese building. Here you can enjoy the beautiful surroundings while you watch the farmers at work tending their produce.Closed NowHours Today: 8:00 AM - 5:00 PMSee all hoursSuggested duration: 2-3 hours";"https://media-cdn.tripadvisor.com/media/photo-o/05/c8/65/e0/tra-que-water-wheel.jpg";5.0;1;"#2 of 46 Sights & Landmarks in Hoi An";"";""
3;"Tra Que Minty Garden";"AboutTra Que Minty Garden is a local Vietnamese family-run business managed by Le Van Hai, known as Chef Danny, who has more than 16 years in the hospitality industry as a Western Sous Chef and as an Executive Chef. Tra Que Minty Garden specializes in...moreClosed NowHours Today: 8:00 AM - 8:00 PMSee all hoursSuggested duration: More than 3 hours";"https://media-cdn.tripadvisor.com/media/photo-w/12/bc/0e/a5/chef-danny-at-a-cooking.jpg";5.0;205;"#3 of 98 things to do in Hoi An";"";""
4;"Tra Que Vegetable Village";"AboutTra Que is a charming little village on the edge of Hoi An, the village is named after the sweet scented vegetables that spice up the everyday meals of the Pho Hoi people. Experience a day of living and working with the local people in Tra Que...moreSuggested duration: More than 3 hoursAs featured in 3 Days in Hoi An";"https://media-cdn.tripadvisor.com/media/photo-w/0e/04/0f/5d/tra-que-04.jpg";4.5;577;"#10 of 98 things to do in Hoi An";"";""
5;"Fukian Assembly Hall (Phuc Kien)";"AboutEach of the many animal statues in this stunning meeting hall symbolize some life quality such as wisdom, longevity and nobility; Chinese merchants from the Phuc Kien province built this structure in 1697.As featured in 3 Days in Hoi An";"https://media-cdn.tripadvisor.com/media/photo-w/14/14/45/d3/fujian-assembly-hall.jpg";4.0;944;"#11 of 98 things to do in Hoi An";"";""
6;"Cantonese Assembly Hall";"AboutCantonese merchants built this meeting hall in Southeast Asian style, with a central courtyard surrounded by buildings brightly decorated with statues and carvings.";"https://media-cdn.tripadvisor.com/media/photo-w/09/2e/c0/ef/quang-trieu-cantonese.jpg";4.0;432;"#14 of 98 things to do in Hoi An";"";""
7;"Hoi An Handicraft Workshop";"";"https://media-cdn.tripadvisor.com/media/photo-w/05/8d/43/53/hoi-an-handicraft-workshop.jpg";4.0;218;"#17 of 98 things to do in Hoi An";"";""
8;"Ba Le Well";"";"https://media-cdn.tripadvisor.com/media/photo-w/11/10/75/9a/photo0jpg.jpg";4.0;208;"#20 of 98 things to do in Hoi An";"";""
9;"Quan Kong Temple";"AboutA pond and two ten-foot wooden statues are the distinguishing features of this 17th century temple.";"https://media-cdn.tripadvisor.com/media/photo-w/0d/fb/bf/b6/quan-kong-01.jpg";4.0;231;"#21 of 98 things to do in Hoi An";"";""
10;"Kim Bong Carpentry Village";"AboutKim Bong carpentry village is a bright spot for tourists who prefer to just relax away from the noisy town just discovered the Vietnamese countryside. About 10 minutes by boat across from the ancient town of Hoi An, visitors saw firsthand carpentry...moreClosed NowHours Today: 8:00 AM - 5:00 PMSee all hoursSuggested duration: 1-2 hours";"https://media-cdn.tripadvisor.com/media/photo-w/06/74/c7/d9/kim-bong-carpentry-village.jpg";4.0;279;"#22 of 98 things to do in Hoi An";"";""
11;"Chaozhou Hall (Trieu Chau)";"AboutAnother of the twenty assembly halls in Hoi An. Though it has some attractive detail, this assembly hall isn’t as elaborate as the Cantonese or Fukian.";"https://media-cdn.tripadvisor.com/media/photo-w/17/3e/4e/5b/trieu-chau-assembly-hall.jpg";4.0;99;"#23 of 98 things to do in Hoi An";"";""
12;"Old House of Tan Ky";"AboutThis beautiful private home, built around an open courtyard and filled with antiques, is over two hundred years old.As featured in Guide to Hoi An for Families";"https://media-cdn.tripadvisor.com/media/photo-w/0d/73/cd/fd/caption.jpg";4.0;988;"#24 of 98 things to do in Hoi An";"";""
